title,genres,rating,revenue,budget,runtime,release_year,vote_count,metascore,studio,language
Crystal Mirage 127,Horror,6.7,39271335.71,8000000.0,82.0,2012,54863,74.0,Silverline,English
Fallen Pulse 128,"Comedy, Animation",7.3,349755459.52,67722437.05,116.0,2015,61944,62.0,Solaris Pictures,Korean
Midnight Mirage 129,"Thriller, Drama",,119882174.02,40785740.33,108.0,2021,203390,68.0,Solaris Pictures,English
Fallen Voyage 130,Romance,6.4,257467901.12,66157596.95,119.0,2015,70842,57.0,Silverline,English
Shadow Kingdom 131,Drama,6.4,98647048.86,33740141.16,107.0,2011,144111,54.0,Vista Peak,French
Crystal Pulse 132 Reborn,"Adventure, Romance",6.8,251084778.55,67375411.75,117.0,2015,108835,60.0,Twin Lantern,English
Scarlet Circuit 133 Returns,Crime,7.1,239728312.48,55452316.8,120.0,2021,142292,62.0,Silverline,English
Burning Circuit 134,Crime,6.8,320393784.29,64903644.93,114.0,2025,72274,53.0,,English
Infinite Empire 135,"Drama, Fantasy",7.4,357735191.48,73303477.96,123.0,2009,190578,,Solaris Pictures,English
Crystal Harbor 136,Crime,7.3,252245939.87,64145423.89,113.0,2016,129934,73.0,Blue Harbor,Vietnamese
Last Formula 137 Rising,Adventure,7.3,653593396.7,,112.0,2022,233556,,EchoWorks,French
Fallen Empire 138,Action,6.2,949837797.31,144401180.4,117.0,2023,296672,61.0,Vista Peak,English
Silver Storm 139 II,"Drama, Horror, Romance",7.2,34269038.09,8000000.0,88.0,2020,73871,78.0,Twin Lantern,English
Silent Pulse 140,"Fantasy, Drama",7.4,301027141.83,38290812.37,96.0,2024,168469,73.0,EchoWorks,English
Burning Pulse 141 Reborn,"Action, Comedy, Romance",6.4,284028716.52,71741872.28,114.0,2016,77835,66.0,Northlight,Korean
Hidden Orbit 142 Returns,"Action, Adventure",6.7,535251666.7,99042617.7,140.0,2018,153436,70.0,Silverline,Vietnamese
Silver Harbor 143 II,Horror,5.5,101516325.71,19205500.69,90.0,2017,48760,52.0,Solaris Pictures,Vietnamese
Silver Empire 144 Returns,"Drama, Horror",7.9,168715393.14,34262870.1,101.0,2008,126189,83.0,Silverline,English
Silent Empire 145,Thriller,6.5,169174641.54,54278740.78,104.0,2013,189187,70.0,Atlas Vision,English
Brave Labyrinth 146 Reborn,Romance,6.9,77084069.95,20473098.48,110.0,2025,86838,68.0,Solaris Pictures,English
Shadow Orbit 147 Returns,Adventure,7.2,741704933.94,95244429.28,116.0,2022,412277,62.0,Aurora Motion,Japanese
Shadow Mirage 148,Adventure,,606428114.02,96058818.89,113.0,2009,155562,,EchoWorks,Korean
Neon Labyrinth 149,Fantasy,6.7,459880758.13,81003093.3,107.0,2008,109549,58.0,Aurora Motion,English
Scarlet Kingdom 150 Rising,"Drama, Horror",7.8,43938450.73,8000000.0,122.0,2021,83028,68.0,Vista Peak,English
Golden Empire 151 II,Crime,7.6,196378855.19,37298512.38,131.0,2017,197461,,Maple Frame,English
Shadow City 152,"Fantasy, Action",6.9,642328121.13,104108502.26,117.0,2008,174755,67.0,Solaris Pictures,Japanese
Brave Harbor 153,Sci-Fi,7.2,801068116.93,117989864.25,136.0,2022,92818,72.0,EchoWorks,Vietnamese
Infinite Formula 154 II,"Drama, Romance, Thriller",7.4,349277894.92,61991115.99,101.0,2018,211404,78.0,Twin Lantern,French
Last City 155,Comedy,6.9,187940317.4,,109.0,2015,154111,77.0,Maple Frame,English
Crystal Frontier 156 Reborn,"Crime, Adventure",6.5,400948331.36,83088514.05,114.0,2010,253618,60.0,Atlas Vision,English
Golden Signal 157,"Action, Romance",6.1,367705882.56,84580783.66,127.0,2014,111030,67.0,Maple Frame,Spanish
Neon Formula 158 II,Adventure,,478726463.5,125694818.6,113.0,2011,140094,60.0,Solaris Pictures,English
Velvet Storm 159 Rising,Action,6.6,925163457.59,150597914.3,129.0,2017,109053,59.0,Northlight,English
Silver Circuit 160,Drama,7.3,28556110.01,8000000.0,110.0,2020,34198,74.0,Twin Lantern,English
Electric Orbit 161 Reborn,"Action, Sci-Fi, Thriller",7.0,633350006.9,98915995.15,114.0,2012,256814,72.0,Atlas Vision,English
Velvet Archive 162 Returns,Drama,6.6,142706737.14,32288838.95,103.0,2019,177514,53.0,Silverline,Vietnamese
Burning Orbit 163,"Comedy, Adventure",6.6,226363589.54,46555099.59,103.0,2009,241563,75.0,Vista Peak,English
Broken Voyage 164 Returns,"Animation, Fantasy, Thriller",6.1,412626492.49,71499156.86,101.0,2012,108106,55.0,Northlight,English
Crystal Voyage 165 Reborn,"Drama, Romance",6.5,156414790.98,50345131.18,110.0,2014,102288,60.0,Blue Harbor,English
Silent City 166,,,1100192355.03,117251750.0,124.0,2020,203588,73.0,,English
Shadow Archive 167 II,Animation,7.5,618939729.15,96796033.44,93.0,2023,208274,69.0,Vista Peak,English
Shadow Harbor 168 II,Horror,6.4,,31815818.72,109.0,2014,112364,66.0,Twin Lantern,Vietnamese
Velvet City 169,Crime,7.3,325624610.86,62812176.82,97.0,2011,264344,65.0,Atlas Vision,Vietnamese
Infinite Kingdom 170 Reborn,Action,6.9,819363759.19,127867360.11,119.0,2016,332928,70.0,Northlight,English
Last Labyrinth 171,"Crime, Animation",7.4,116882872.09,24666010.33,102.0,2012,181754,77.0,Maple Frame,Korean
Wild Empire 172,Fantasy,7.5,459855055.09,100302671.17,129.0,2011,528033,69.0,Maple Frame,English
Last Frontier 173 Reborn,"Comedy, Action, Crime",8.5,601698283.77,95861092.48,122.0,2024,269613,72.0,EchoWorks,English
Hidden Kingdom 174,Crime,,217493251.32,49437597.43,128.0,2025,132090,73.0,Blue Harbor,English
Scarlet Signal 175,Action,6.2,,114674373.01,127.0,2025,238075,55.0,Northlight,Japanese
Broken Frontier 176,"Sci-Fi, Crime, Drama",7.5,343371024.26,59005132.62,121.0,2011,200888,75.0,Aurora Motion,English
Silent Empire 177 Returns,"Action, Thriller, Horror",6.3,141991445.53,35472587.21,122.0,2021,98987,70.0,Vista Peak,English
Last Echo 178 Reborn,Crime,7.5,259074334.69,58574415.17,112.0,2012,152379,74.0,Silverline,English
Brave Kingdom 179,Animation,7.5,541894971.48,87495679.87,129.0,2017,148730,,Atlas Vision,Vietnamese
Scarlet Pulse 180,"Adventure, Drama",7.4,759616137.97,89233473.12,136.0,2022,185212,71.0,,English
Crystal City 181 Reborn,"Horror, Action",6.6,438623339.88,75792524.56,122.0,2015,115680,66.0,Blue Harbor,Japanese
Fallen Legacy 182 Rising,Adventure,7.8,998290139.07,93008836.56,130.0,2018,266740,,Twin Lantern,English
Golden Legacy 183 Rising,Crime,6.5,198319967.76,49606244.85,120.0,2016,137786,67.0,Blue Harbor,Korean
Neon Orbit 184 II,Thriller,6.8,96320288.1,20670946.2,109.0,2014,72681,79.0,Atlas Vision,English
Hidden Pulse 185,Comedy,6.5,42925210.13,11586391.79,108.0,2012,69787,61.0,Northlight,Vietnamese
Electric Labyrinth 186,Sci-Fi,7.5,1108696707.88,125877802.12,118.0,2018,363618,80.0,,English
Electric Circuit 187 Returns,"Crime, Fantasy",7.2,245473081.55,48259883.94,108.0,2018,137968,64.0,Vista Peak,French
Burning Harbor 188,"Comedy, Adventure",7.7,299971291.82,54335666.07,102.0,2011,85732,75.0,Northlight,Vietnamese
Neon Echo 189,"Drama, Comedy",6.7,172017825.73,50361344.41,92.0,2024,94808,72.0,Northlight,English
Silent Signal 190,Comedy,6.7,182334574.57,50975918.88,,2016,177772,52.0,Blue Harbor,English
Neon Harbor 191,Adventure,6.1,720973997.3,106143051.03,116.0,2025,267710,64.0,Silverline,English
Brave Season 192,Drama,8.1,43546113.26,8000000.0,118.0,2025,122368,81.0,Aurora Motion,English
Electric Empire 193,"Action, Adventure",7.7,852134704.08,138046653.83,119.0,2008,467165,90.0,Silverline,English
Silver Kingdom 194 Rising,"Animation, Drama",7.1,346358938.77,69648445.07,134.0,2008,165532,78.0,Atlas Vision,English
Wild Pulse 195,"Drama, Fantasy, Animation",8.5,503803116.21,,109.0,2015,221902,90.0,Atlas Vision,Spanish
Infinite Harbor 196,"Action, Fantasy",6.1,472562365.0,93761999.51,127.0,2010,197432,57.0,Atlas Vision,Japanese
Velvet Voyage 197 Reborn,Drama,6.3,99443478.4,34578709.89,115.0,2011,165166,61.0,,English
Brave Formula 198 II,"Horror, Sci-Fi",5.5,267430330.25,48666677.55,,2017,155378,62.0,Twin Lantern,English
Broken Echo 199 Reborn,Crime,7.8,386211783.17,81641785.67,110.0,2023,119415,70.0,Aurora Motion,Spanish
Brave Season 200 Reborn,"Action, Fantasy",6.9,593536486.95,,120.0,2009,330486,59.0,Twin Lantern,English
Midnight Labyrinth 201 II,"Crime, Horror",7.1,33259444.45,8000000.0,84.0,2014,83503,63.0,Aurora Motion,English
Brave City 202 II,"Fantasy, Drama",6.7,156599252.67,53943970.28,98.0,2018,162019,64.0,Atlas Vision,English
Silent Archive 203 II,Fantasy,7.7,498199534.37,114979453.58,111.0,2021,171632,62.0,Northlight,English
Silver Orbit 204,Adventure,6.8,1062440130.2,147923925.2,121.0,2014,675929,57.0,Silverline,Japanese
Shadow Season 205 Reborn,"Action, Drama",7.3,313269223.06,63804165.3,135.0,2024,146305,75.0,Vista Peak,English
Velvet Storm 206,Fantasy,7.5,586661410.3,108841385.69,114.0,2022,183980,76.0,EchoWorks,English
Silent Voyage 207,Action,6.2,427407171.3,90501245.58,110.0,2008,181750,57.0,Silverline,English
Brave Archive 208 II,"Sci-Fi, Adventure",7.5,851639399.55,119899436.46,111.0,2018,244086,61.0,Atlas Vision,Vietnamese
Last Season 209,"Horror, Comedy",6.4,,31694641.99,103.0,2017,161563,63.0,EchoWorks,English
Midnight Orbit 210,Crime,6.0,183728195.03,52802490.02,108.0,2013,251448,62.0,Atlas Vision,English
Shadow Circuit 211 Rising,"Horror, Crime",6.6,243284617.76,54794669.23,98.0,2016,322604,70.0,EchoWorks,French
Hidden Circuit 212,Drama,,181758311.14,34125599.78,115.0,2021,46852,93.0,Solaris Pictures,English
Midnight Empire 213,Crime,7.3,252741492.81,64759515.14,117.0,2023,144480,67.0,Silverline,Vietnamese
Silent City 214,"Comedy, Drama, Crime",6.8,197071951.22,45179953.72,109.0,2015,337018,56.0,Aurora Motion,French
Fallen Kingdom 215 Returns,Horror,5.1,55222991.49,15159314.88,107.0,2018,164760,53.0,Silverline,Spanish
Shadow Frontier 216 II,"Comedy, Drama",7.3,38171741.77,8926894.56,142.0,2012,99779,80.0,Maple Frame,English
Silver Orbit 217 Rising,Adventure,6.6,1013379175.42,134702162.17,134.0,2025,251340,67.0,Silverline,French
Scarlet Archive 218,"Romance, Thriller",7.2,230901582.61,49456848.62,89.0,2021,90407,78.0,Blue Harbor,English
Scarlet Mirage 219 Rising,"Comedy, Adventure",6.3,348984053.52,61345126.52,112.0,2021,226114,52.0,Northlight,English
Neon Storm 220 Rising,"Crime, Romance",6.7,238627424.19,72332770.16,104.0,2015,352433,67.0,Vista Peak,English
Velvet Signal 221 Reborn,,7.3,330326577.08,53747678.01,108.0,2016,243075,75.0,Twin Lantern,Spanish
Shadow Storm 222 II,"Drama, Comedy",6.5,78292802.86,24050825.6,131.0,2015,89126,73.0,Twin Lantern,English
Fallen Storm 223,Action,6.4,829605854.42,148158622.36,127.0,2015,213046,58.0,Northlight,English
Velvet Signal 224,Horror,6.4,56014016.69,14393902.31,91.0,2014,71625,62.0,Silverline,English
Wild Pulse 225 Returns,Adventure,8.0,756729396.27,116578772.21,128.0,2013,100261,85.0,Solaris Pictures,English
Silver Formula 226,Crime,7.9,242179689.79,50684121.77,,2022,73603,71.0,Aurora Motion,Korean
Silver Kingdom 227 II,"Drama, Sci-Fi",6.7,491880459.2,93429786.36,131.0,2017,353678,65.0,Northlight,French
Shadow Season 228,"Action, Horror, Comedy",6.6,244359188.02,61454751.93,112.0,2010,164481,71.0,,English
Electric Circuit 229 Returns,"Fantasy, Drama",7.1,294090886.7,50213464.94,143.0,2016,73752,62.0,Maple Frame,English
Broken Storm 230 Rising,"Horror, Thriller",6.1,307399414.28,62057276.58,112.0,2019,102705,49.0,Blue Harbor,English
Electric Formula 231,Romance,7.1,29841826.11,11063987.05,104.0,2017,35212,76.0,Vista Peak,Korean
Burning Orbit 232,Thriller,6.5,61745853.91,22894730.8,122.0,2013,72730,60.0,Solaris Pictures,English
Broken Harbor 233 Returns,"Fantasy, Drama",7.0,237087993.79,63552246.13,153.0,2011,202832,71.0,Vista Peak,English
Broken Harbor 234 II,Action,6.9,1004682031.17,126700459.85,127.0,2011,189587,65.0,Twin Lantern,Korean
Wild Labyrinth 235,Horror,6.6,,11688681.46,93.0,2017,102096,63.0,EchoWorks,Spanish
Velvet Archive 236,Drama,7.6,29835778.52,8000000.0,100.0,2018,53100,72.0,Atlas Vision,English
Burning Voyage 237 Reborn,Drama,7.9,222380898.5,51551699.01,,2016,158515,71.0,Aurora Motion,English
Golden Labyrinth 238,"Thriller, Action",7.4,791640376.88,106152119.3,106.0,2025,277794,72.0,Twin Lantern,English
Neon Voyage 239 II,"Thriller, Action",6.5,601237814.42,101672641.1,105.0,2017,161818,68.0,Aurora Motion,French
Brave Labyrinth 240,Fantasy,7.0,486495160.48,123356779.69,122.0,2012,208177,63.0,Maple Frame,English
